Риск-балл;Уровень риска;Риск-флаги;VIN;Автосалон;Марка;Модель;Год выпуска;Пробег;Состояние;Ценовой сегмент;Цена продажи факт;МЦП;Отклонение от МЦП, ₽;% цены к МЦП;% цены к рынку;Срок публикации;Срок хранения;Количество звонков;Статус звонков;GM2, ₽;GM2, %;Оценщик;Менеджер по продажам;Контракт;% затрат к рынку оценка;Оценок по VIN;flag_multiple_evaluations
5;Средний;"ниже рынка; ниже МЦП";Y4K8622Z1PB916180;Avangard Приморский;Geely;Coolray;2023;24415;A;1–2 млн ₽;1845000.0;1882653.06122449;-37653.06122448994;98.0;91.0;36.0;42.0;4.0;звонки были;106826.0;5.8;Вырышев Максим;Вырышев Максим;Trade-In на новый;79.0;1;False
5;Средний;"ниже рынка; ниже МЦП";XZGEE04AXSA598980;Avangard Приморский;Haval;Jolion;2025;4670;B;1–2 млн ₽;1799000.0;1835714.2857142857;-36714.28571428568;98.0;93.0;37.0;45.0;7.0;звонки были;142799.0;7.9;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;83.0;1;False
13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП";4T3BA3BB1AU013598;Avangard Приморский;Toyota;Venza;2010;211077;C;1–2 млн ₽;1080000.0;1113402.06185567;-33402.061855670065;97.0;72.0;0.0;5.0;;нет данных;62618.0;5.8;Вырышев Максим;Вырышев Максим;Trade-In на новый;82.0;1;False
15;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП; ниже 95% МЦП; ниже 90% МЦП";X9FAXXEEDA5U52056;Avangard Приморский;Ford;Focus;2005;175200;D;<1 млн ₽;50000.0;83333.33333333334;-33333.33333333334;60.0;24.0;0.0;1.0;;нет данных;28128.0;56.3;Жиганов Василий;Жиганов Василий;Trade-In;69.0;1;False
7;Высокий;"ниже рынка; ниже рынка ≤7 дней; ниже МЦП";XZGFF07AXPA110177;Avangard Приморский;Haval;H9;2023;20600;B;3–5 млн ₽;3299000.0;3332323.2323232326;-33323.23232323257;99.0;98.0;4.0;6.0;3.0;звонки были;250925.0;7.6;Бойцов Иван;Бойцов Иван;Trade-In на новый;81.0;1;False
13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП";XW8AC4NH8HK126371;Avangard Приморский;Skoda;Rapid;2017;144650;D;<1 млн ₽;600000.0;631578.9473684211;-31578.947368421126;95.0;64.0;0.0;1.0;;нет данных;79445.0;13.2;Тронягин Кирилл;Тронягин Кирилл;Trade-In на новый;45.0;1;False
10;Критический;"ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже МЦП; GM2<0";XW8AC2NH3KK122496;Avangard Приморский;Skoda;Rapid;2019;99358;C;1–2 млн ₽;1019000.0;1050515.4639175257;-31515.463917525718;97.0;75.0;81.0;97.0;9.0;звонки были;-21660.0;-2.1;;;;;0;False
13;Критический;"без публикации; нет данных по звонкам; ниже рынка; ниже 90% рынка; ниже 80% рынка; ниже рынка ≤7 дней; ниже МЦП";Z6FDXXEECDHU27469;Avangard Приморский;Ford;Mondeo;2017;109647;B;1–2 млн ₽;1500000.0;1530612.2448979593;-30612.24489795929;98.0;79.0;0.0;0.0;;нет данных;153937.0;10.3;Жиганов Василий;Полежаев Александр;Trade-In на БУ;83.0;1;False
5;Средний;"ниже рынка; ниже МЦП; несколько оценок";LB37852D8PS152195;Avangard Приморский;Geely;Monjaro;2023;38879;B;2–3 млн ₽;2999000.0;3029292.9292929294;-30292.92929292936;99.0;90.0;48.0;51.0;11.0;звонки были;42435.0;1.4;Бойцов Иван;Бойцов Иван;Trade-In на новый;84.0;2;True
3;Средний;ниже МЦП;JF1SH9LT5BG218172;Avangard Приморский;Subaru;Forester;2011;95400;B;1–2 млн ₽;1399000.0;1427551.0204081633;-28551.020408163313;98.0;135.0;88.0;102.0;47.0;звонки были;100118.0;7.2;;;;;0;False
7;Высокий;"0 звонков; ниже рынка; ниже МЦП";L6T7852D8ND109053;Avangard Приморский;Geely;Tugella;2022;29055;B;2–3 млн ₽;2740000.0;2767676.767676768;-27676.767676767893;99.0;91.0;11.0;12.0;0.0;0 звонков;270400.0;9.9;Вырышев Максим;Вырышев Максим;Trade-In на новый;81.0;1;False
6;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП";Z6F5XXEEC5JB58933;Avangard Приморский;Ford;Focus;2018;169456;B;<1 млн ₽;878000.0;905154.6391752578;-27154.639175257762;97.0;83.0;77.0;86.0;4.0;звонки были;60865.0;6.9;;;;;0;False
6;Высокий;"ниже рынка; ниже 90% рынка; ниже МЦП";Y4K8742Z4MB700571;Avangard Приморский;Geely;GS;2021;44955;B;1–2 млн ₽;1315000.0;1341836.7346938776;-26836.73469387763;98.0;81.0;36.0;38.0;4.0;звонки были;163141.0;12.4;Параничев Андрей;Симаньков Артем;Trade-In на новый;68.0;1;False
5;Средний;"ниже рынка; ниже МЦП";Y4K8622Z2RB922086;Avangard Приморский;Belgee;X50;2024;30182;B;1–2 млн ₽;1889000.0;1908080.808080808;-19080.808080808027;99.0;97.0;38.0;43.0;6.0;звонки были;44761.0;2.4;;;;;0;False
7;Высокий;"0 звонков; ниже рынка; ниже МЦП";LVVDB21B8RD755593;Avangard Приморский;Chery;Tiggo 7 Pro Max;2024;69935;B;1–2 млн ₽;1835000.0;1853535.3535353534;-18535.35353535344;99.0;99.0;13.0;16.0;0.0;0 звонков;247286.0;13.5;Жиганов Василий;Жиганов Василий;Trade-In;79.0;1;False
5;Средний;"ниже рынка; ниже МЦП";LGWEF4A58RF704437;Avangard Приморский;Haval;M6;2024;62017;B;1–2 млн ₽;1590000.0;1606060.606060606;-16060.606060605962;99.0;95.0;106.0;112.0;19.0;звонки были;94699.0;6.0;;;;;0;False
